match_id,fecha,home,away,liga_id,posesion_h,posesion_a,xg_h,xg_a,tiros_h,tiros_a,tiros_puerta_h,tiros_puerta_a,ocasiones_claras_h,ocasiones_claras_a,corners_h,corners_a,entradas_h,entradas_a,intercepciones_h,intercepciones_a,despejes_h,despejes_a,paradas_h,paradas_a,faltas_h,faltas_a,rating_h,rating_a,n_rematadores
1000014500,2026-07-17,Tijuana,Tigres,230,51.0,49.0,2.12,0.59,15.0,8.0,7.0,4.0,2.0,3.0,1.0,4.0,13.0,12.0,6.0,9.0,24.0,22.0,3.0,4.0,11.0,17.0,7.2,6.217,13
1000014499,2026-07-17,Necaxa,Atlante,230,64.0,36.0,2.39,0.6,11.0,12.0,5.0,3.0,6.0,0.0,11.0,5.0,20.0,22.0,10.0,8.0,22.0,46.0,2.0,3.0,11.0,16.0,7.107,6.671,13
