EQUIPO_NOMBRE,JUGADOR_NOMBRE,GOLES_24M,PENALES_24M,PARTIDOS_EQUIPO_24M,GOLES_POR_PARTIDO,XG_ESTIMADO_PARTIDO,REMATES_ARCO_ESTIMADOS,REMATES_TOTALES_ESTIMADOS,PARTIDOS_MARCANDO_DE_5,PROB_MARCAR
UZB,Khojimat Erkinov,1,0,23,0.043,0.066,0.2,0.65,0,0.082
VAN,John Alick,2,0,10,0.2,0.181,0.56,1.8,0,0.21
VAN,Bong Kalo,1,0,10,0.1,0.119,0.37,1.18,0,0.143
VAN,Jordy Tasip,1,0,10,0.1,0.119,0.37,1.18,0,0.143
VAN,Mitch Cooper,1,0,10,0.1,0.119,0.37,1.18,0,0.143
VEN,Salomón Rondón,4,1,20,0.2,0.188,0.59,1.87,0,0.217
VEN,Telasco Segovia,2,0,20,0.1,0.112,0.35,1.11,0,0.135
VEN,Jefferson Savarino,1,0,20,0.05,0.073,0.23,0.73,0,0.091
VEN,Jhonder Cádiz,1,0,20,0.05,0.073,0.23,0.73,0,0.091
VEN,Jon Aramburu,1,0,20,0.05,0.073,0.23,0.73,0,0.091
VEN,Josef Martínez,1,0,20,0.05,0.073,0.23,0.73,0,0.091
VEN,Rubén Ramírez,1,0,20,0.05,0.073,0.23,0.73,0,0.091
VIN,Oalex Anderson,3,0,20,0.15,0.15,0.47,1.49,0,0.177
VIN,Cornelius Stewart,1,1,20,0.05,0.073,0.23,0.73,0,0.091
VIN,Kirtney Franklyn,1,0,20,0.05,0.073,0.23,0.73,0,0.091
VIN,Kyle Edwards,1,0,20,0.05,0.073,0.23,0.73,0,0.091
VIN,Micah Joseph,1,0,20,0.05,0.073,0.23,0.73,0,0.091
WAL,Harry Wilson,9,4,20,0.45,0.381,1.19,3.78,1,0.39
WAL,Brennan Johnson,4,0,20,0.2,0.188,0.59,1.87,1,0.217
WAL,Daniel James,3,0,20,0.15,0.15,0.47,1.49,2,0.177
WAL,Kieffer Moore,3,0,20,0.15,0.15,0.47,1.49,0,0.177
WAL,David Brooks,2,0,20,0.1,0.112,0.35,1.11,1,0.135
WAL,Joe Rodon,2,0,20,0.1,0.112,0.35,1.11,0,0.135
WAL,Liam Cullen,2,0,20,0.1,0.112,0.35,1.11,0,0.135
WAL,Nathan Broadhead,2,0,20,0.1,0.112,0.35,1.11,1,0.135
ZAM,Fashion Sakala,1,0,16,0.062,0.086,0.27,0.86,0,0.106
ZAM,Patson Daka,1,0,16,0.062,0.086,0.27,0.86,1,0.106
ZIM,Knowledge Musona,2,0,22,0.091,0.104,0.32,1.03,1,0.126
ZIM,Marshall Munetsi,1,0,22,0.045,0.068,0.21,0.67,0,0.084
ZIM,Prince Dube,1,0,22,0.045,0.068,0.21,0.67,0,0.084
ZIM,Tawanda Chirewa,1,0,22,0.045,0.068,0.21,0.67,0,0.084
ZIM,Tawanda Maswanhise,1,0,22,0.045,0.068,0.21,0.67,1,0.084
