date,home_team,away_team,team,scorer,minute,own_goal,penalty,MATCH_ID
2018-06-22,NGA,ISL,NGA,Ahmed Musa,49.0,False,False,20180622_NGA_ISL
2018-06-22,NGA,ISL,NGA,Ahmed Musa,75.0,False,False,20180622_NGA_ISL
2018-06-22,SRB,SUI,SRB,Aleksandar Mitrović,5.0,False,False,20180622_SRB_SUI
2018-06-22,SRB,SUI,SUI,Granit Xhaka,52.0,False,False,20180622_SRB_SUI
2018-06-22,SRB,SUI,SUI,Xherdan Shaqiri,90.0,False,False,20180622_SRB_SUI
2018-06-23,BEL,TUN,BEL,Eden Hazard,6.0,False,True,20180623_BEL_TUN
2018-06-23,BEL,TUN,BEL,Romelu Lukaku,16.0,False,False,20180623_BEL_TUN
2018-06-23,BEL,TUN,TUN,Dylan Bronn,18.0,False,False,20180623_BEL_TUN
2018-06-23,BEL,TUN,BEL,Romelu Lukaku,45.0,False,False,20180623_BEL_TUN
2018-06-23,BEL,TUN,BEL,Eden Hazard,51.0,False,False,20180623_BEL_TUN
2018-06-23,BEL,TUN,BEL,Michy Batshuayi,90.0,False,False,20180623_BEL_TUN
2018-06-23,BEL,TUN,TUN,Wahbi Khazri,90.0,False,False,20180623_BEL_TUN
2018-06-23,GER,SWE,SWE,Ola Toivonen,32.0,False,False,20180623_GER_SWE
2018-06-23,GER,SWE,GER,Marco Reus,48.0,False,False,20180623_GER_SWE
2018-06-23,GER,SWE,GER,Toni Kroos,90.0,False,False,20180623_GER_SWE
2018-06-23,KOR,MEX,MEX,Carlos Vela,26.0,False,True,20180623_KOR_MEX
2018-06-23,KOR,MEX,MEX,Javier Hernández,66.0,False,False,20180623_KOR_MEX
2018-06-23,KOR,MEX,KOR,Son Heung-min,90.0,False,False,20180623_KOR_MEX
2018-06-24,ENG,PAN,ENG,John Stones,8.0,False,False,20180624_ENG_PAN
2018-06-24,ENG,PAN,ENG,Harry Kane,22.0,False,True,20180624_ENG_PAN
2018-06-24,ENG,PAN,ENG,Jesse Lingard,36.0,False,False,20180624_ENG_PAN
